,text,target
54,"M7  .  2   #  EARTHQUAKE  !   150 KM NW OF TOBELO, INDONESIA  
DEPTH  :   60 KM AT 2023  -  0  -  3 1  :  6  :  14  .  0 UTC VIA   @  EQTW ",1.0
55,"A 7  .  2 magnitude   #  earthquake occured at 150 km NW of Tobelo, Indonesia  .   See the full report at  :  … ",1.0
57,"M7  .  2   #  EARTHQUAKE  !   MOLUCCA SEA  
DEPTH  :   60  .  4 KM AT 2023  -  0  -  3 1  :  6  :  15  .  0 UTC VIA   @  EQTW ",1.0
58,A 7  .  2 magnitude   #  earthquake occured at Molucca Sea  .   See the full report at  : ,1.0
59,7  .  19 earthquake occurred near Northern Molucca Sea at 06  :  06 UTC  !     #  earthquake   #  NorthernMoluccaSea,1.0
61,"A 2  .  1 magnitude   #  earthquake occured at 59 km WNW of Ninilchik, Alaska  .   See the full report at  :  … ",1.0
65,4  .  7 earthquake occurred 13km E of Tinaga Island at 05  :  00 UTC  !     #  earthquake   #  TinagaIsland,1.0
67,"A 4  .  8 magnitude   #  earthquake occured at southwestern Ryukyu Islands, Japan  .   See the full report at  :  … ",1.0
70,4  .  5 earthquake occurred 12km E of Tinaga Island at 04  :  51 UTC  !     #  earthquake   #  TinagaIsland,1.0
73,"A 5  .  0 magnitude   #  earthquake occured at 96 km SSW of Żurrieq, Malta  .   See the full report at  :    ",1.0
77,"4  .  6 earthquake close to Miyakojima, Okinawa, Japan at 04  :  33 UTC  !     #  earthquake ",1.0
78,4  .  54 earthquake occurred near Central Mediterranean Sea at 04  :  22 UTC  !     #  earthquake   #  CentralMediterraneanSea,1.0
79,"A 2  .  9 magnitude   #  earthquake occured at 3 km S of Guánica, Puerto Rico  .   See the full report at  :  … ",1.0
81,"A 2  .  1 magnitude   #  earthquake occured at 71 km WNW of Happy Valley, Alaska  .   See the full report at  :  … ",1.0
86,"A 2  .  6 magnitude   #  earthquake occured at 2 km W of Meadow Lakes, Alaska  .   See the full report at  :  … ",1.0
88,"A 2  .  5 magnitude   #  earthquake occured at 13 km WSW of Carmen, Oklahoma  .   See the full report at  :  … ",1.0
90,"4  .  2 earthquake close to Miyakojima, Okinawa, Japan at 03  :  26 UTC  !     #  earthquake ",1.0
91,"A 2  .  2 magnitude   #  earthquake occured at 34 km ENE of Tanana, Alaska  .   See the full report at  :    ",1.0
99,"A 4  .  2 magnitude   #  earthquake occured at 5 km S of Santa Bárbara, Guatemala  .   See the full report at  :  … ",1.0
100,"4  .  2 earthquake occurred 5km S of Santa Bárbara, Guatemala at 02  :  20 UTC  !     #  earthquake   #  SantaBárbara ",1.0
105,"A 2  .  1 magnitude   #  earthquake occured at 1 km NW of Cole, Oklahoma  .   See the full report at  :    ",1.0
112,"A 2  .  2 magnitude   #  earthquake occured at 2 km SE of Indios, Puerto Rico  .   See the full report at  :  … ",1.0
123,"A 4  .  6 magnitude   #  earthquake occured at 34 km NE of Mercedes, Philippines  .   See the full report at  :  … ",1.0
126,"4  .  1 earthquake occurred near Luzon, Philippines at 00  :  56 UTC  !     #  earthquake   #  Luzon ",1.0
130,"A 6  .  1 magnitude   #  earthquake occured at 65 km SSE of Gorontalo, Indonesia  .   See the full report at  :  … ",1.0
134,"6  .  3 earthquake occurred near Sulawesi, Indonesia at 00  :  34 UTC  !     #  earthquake   #  Sulawesi ",1.0
136,A 4  .  1 magnitude   #  earthquake occured at off the coast of Central America  .   See the full report at  :  …,1.0
137,"4  .  1 earthquake occurred 57km SW of Jiquilisco, El Salvador at 00  :  20 UTC  !     #  earthquake   #  Jiquilisco ",1.0
139,"A 2  .  8 magnitude   #  earthquake occured at 6 km E of Hennessey, Oklahoma  .   See the full report at  :  … ",1.0
144,"A 2  .  2 magnitude   #  earthquake occured at 5 km WNW of Purcell, Oklahoma  .   See the full report at  :  … ",1.0
153,1  .  43 earthquake occurred near Mount St  .   Helens area Washington at 09  :  36 UTC  !     #  earthquake,1.0
156,1  .  9 earthquake occurred 15km E of Anchorage Alaska at 00  :  11 UTC  !     #  earthquake   #  Anchorage,1.0
157, #  SCSeEstaPreparando Light mag  .   4  .  4 earthquake    -     -   73km SW of Khuzdar Pakistan on Wednes  .    .    .    via   @  volcanodiscover,1.0
159,USGS reports a M1  .  94   #  earthquake 5km S of Volcano Hawaii on 8  /  6  /  15   @   1  :  04  :  01 UTC    #  quake,1.0
164, #  earthquake   (  EMSC  )    :   MD 2  .  9 OFF COAST OF NORTHERN CALIFORNIA  G,1.0
170,1  .  94 earthquake occurred 5km S of Volcano Hawaii at 01  :  04 UTC  !     #  earthquake   #  Volcano,1.0
171,USGS reports a M1  .  94   #  earthquake 5km S of Volcano Hawaii on 8  /  6  /  15   @   1  :  04  :  01 UTC    #  quake,1.0
675,"Another aftershock, this one bigger .   # terremoto  # ItalyEarthquake  # Preci  # Umbria",2.0
704,Small aftershocks here in Arquata as firefighters work  &  locals survivors wait .   # ItalyEarthquake,2.0
733,Still getting a few decent aftershocks  # eqnz,2.0
740,"Boy, these aftershocks are strong  # eqnz",2.0
747,Powerful 7 . 2 magnitude earthquake jolts New Zealand says USGS :  AFP,1.0
748,"Lots of aftershocks in  # NewZealand, Kiwis are very resilient, we can get through this as a nation  # eqnz",2.0
752,These aftershocks are not nice .  .   # eqnz,2.0
754,"More aftershocks !  Come on, man !   ( Hataitai )   # eqnz",2.0
771,RT  @ ohhhpossum :  roughly 60 quakes in the last 4 hours since the quake at midnight  # eqnz,2.0
773,I hope everyone in NZ is okay from all of those aftershocks  :  /   # eqnz,2.0
778,Exhausted after last nights quakes .  Feeling only a little bad for FaceTiming my parents during aftershocks  # SorryMum  # NotABigKidYet  # eqnz,2.0
780,Umm person doing the lawns through aftershocks ὢC # eqnz,2.0
782,"That was a decent wobble, not liking being in an office block for aftershocks   # eqnz",2.0
785,"RT  @ AraCanterbury :  We hope everyone is safe after the earthquake .  All Ara campuses are open, apart from New Brighton .  This campus will stay",2.0
787,these really are drunken sailor aftershocksjust roll on and around  # eqnz,2.0
788,Sleep eluded me even though the aftershocks settled .  Now its time for coffee .   # eqnz,2.0
791,I cant believe weve had a magnitude 7 . 1 earthquake in New Zealand with no reports of seriously damage . ,2.0
796,"So many aftershocks today .  I shouldnt have eaten lunch, feeling quite queasy with each rolling shake  # eqnz",2.0
802,Didnt get any sleep last night .  Still getting aftershocks this morning  # eqnz,2.0
809,"That was a really big shake !  A 7 . 5 just after midnight here in New Zealand, but no damage at home   # eqnz  # earthquake",2.0
811,Ive been awake all night with these bloody aftershocks now cant tell them apart from over - tired wooziness  # eqnz,2.0
812,Some clown was letting off fireworks last night in the Hutt during the tsunami alert Ἰ7Ἰ6 # EQNZ,2.0
831,"Took a tour of Quito Ecuador after the earthquake, not much damage visible # EnjoyTheWholeDay",2.0
844,RT  @ thesecondascent :  7 . 4 magnitude earthquake just hit Ecuador near Esmereldas .  We are currently on the Galápagos Islands and are safe .   # ea,2.0
847,RT  @ humanityfirstuk :  Already 6 aftershocks in  # Ecuador each greater than mag 4 since the 7 . 8 mag  # earthquake last night near Muisne,2.0
